frame,timestamp,x,y,z,roll,pitch,yaw,qw,qx,qy,qz
1,1761003677.661523,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
2,1761003678.562447,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
3,1761003679.4231062,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
4,1761003680.2891605,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
5,1761003681.1703002,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
6,1761003682.0409973,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
7,1761003682.892205,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
8,1761003683.7544537,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
9,1761003684.620899,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
10,1761003685.5645814,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
11,1761003686.430535,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
12,1761003687.2980375,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
13,1761003688.1699002,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
14,1761003689.0342805,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
15,1761003689.890879,7.0,0.0,1.5,0.0,-0.0,3.14,0.0007963267107332633,0.0,0.0,0.9999996829318346
